Episode,TotalReward,AvgReward,Steps
1,-1.0,-1.0,0
1,0.0,0.0,1
1,0.0,0.0,2
1,0.0,0.0,3
1,0.0,0.0,4
1,0.0,0.0,5
1,0.0,0.0,6
1,0.0,0.0,7
1,0.0,0.0,8
1,0.0,0.0,9
1,0.0,0.0,10
1,0.0,0.0,11
1,-1.0,-1.0,12
1,0.0,0.0,13
1,0.0,0.0,14
1,0.0,0.0,15
1,0.0,0.0,16
1,0.0,0.0,17
1,0.0,0.0,18
1,0.0,0.0,19
1,0.0,0.0,20
1,0.0,0.0,21
1,0.0,0.0,22
1,0.0,0.0,23
1,-1.0,-1.0,24
1,0.0,0.0,25
1,0.0,0.0,26
1,0.0,0.0,27
1,0.0,0.0,28
1,0.0,0.0,29
1,0.0,0.0,30
1,0.0,0.0,31
1,0.0,0.0,32
1,0.0,0.0,33
1,-0.75,-0.75,34
1,-1.0,-1.0,35
1,-2.25,-2.25,36
1,-1.5,-1.5,37
1,-1.75,-1.75,38
1,-2.0,-2.0,39
1,-2.25,-2.25,40
1,-2.5,-2.5,41
1,-2.75,-2.75,42
1,0.0,0.0,43
1,-0.75,-0.75,44
1,-1.0,-1.0,45
1,-2.0,-2.0,46
1,-2.5,-2.5,47
1,-4.0,-4.0,48
1,-3.5,-3.5,49
1,-4.75,-4.75,50
1,-5.5,-5.5,51
1,-6.25,-6.25,52
1,-7.0,-7.0,53
1,-4.5,-4.5,54
1,-3.75,-3.75,55
1,-4.25,-4.25,56
1,-5.5,-5.5,57
1,-6.25,-6.25,58
1,-7.0,-7.0,59
1,-9.5,-9.5,60
1,-10.25,-10.25,61
1,-11.5,-11.5,62
1,-12.75,-12.75,63
1,-8.75,-8.75,64
1,-5.5,-5.5,65
1,-4.0,-4.0,66
1,-4.75,-4.75,67
1,-2.75,-2.75,68
1,-3.25,-3.25,69
1,-3.75,-3.75,70
1,-4.25,-4.25,71
1,-6.5,-6.5,72
1,-6.25,-6.25,73
1,-7.0,-7.0,74
1,-7.75,-7.75,75
1,-8.5,-8.5,76
1,-9.25,-9.25,77
1,-10.0,-10.0,78
1,-10.75,-10.75,79
1,-12.25,-12.25,80
1,-13.25,-13.25,81
1,-14.25,-14.25,82
1,-15.25,-15.25,83
1,-17.25,-17.25,84
1,-17.25,-17.25,85
1,-18.25,-18.25,86
1,-19.25,-19.25,87
1,-20.25,-20.25,88
1,-21.25,-21.25,89
1,-22.25,-22.25,90
1,-23.25,-23.25,91
1,-25.0,-25.0,92
1,-26.25,-26.25,93
1,-27.5,-27.5,94
1,-28.75,-28.75,95
1,-31.0,-31.0,96
1,-31.25,-31.25,97
1,-32.5,-32.5,98
1,-24.5,-24.5,99
1,-17.0,-17.0,100
1,-18.0,-18.0,101
1,-20.5,-20.5,102
1,-22.0,-22.0,103
1,-23.5,-23.5,104
1,-25.0,-25.0,105
1,-26.5,-26.5,106
1,-28.0,-28.0,107
1,-30.0,-30.0,108
1,-31.5,-31.5,109
1,-32.5,-32.5,110
1,-34.0,-34.0,111
1,-35.5,-35.5,112
1,-37.75,-37.75,113
1,-39.5,-39.5,114
1,-41.25,-41.25,115
1,-43.0,-43.0,116
1,-44.75,-44.75,117
1,-46.5,-46.5,118
1,-48.25,-48.25,119
1,-50.5,-50.5,120
1,-51.75,-51.75,121
1,-54.25,-54.25,122
1,-56.75,-56.75,123
1,-58.25,-58.25,124
1,-60.25,-60.25,125
1,-62.25,-62.25,126
1,-64.25,-64.25,127
1,-66.25,-66.25,128
1,-68.25,-68.25,129
1,-70.25,-70.25,130
1,-73.0,-73.0,131
1,-75.75,-75.75,132
1,-78.0,-78.0,133
1,-79.75,-79.75,134
1,-82.0,-82.0,135
1,-84.25,-84.25,136
1,-86.5,-86.5,137
1,-88.75,-88.75,138
1,-91.0,-91.0,139
1,-94.0,-94.0,140
1,-96.5,-96.5,141
1,-99.0,-99.0,142
1,-101.5,-101.5,143
1,-105.0,-105.0,144
1,-106.5,-106.5,145
1,-109.0,-109.0,146
1,-111.5,-111.5,147
1,-114.0,-114.0,148
1,-117.25,-117.25,149
1,-120.0,-120.0,150
1,-122.75,-122.75,151
1,-125.5,-125.5,152
1,-128.25,-128.25,153
1,-131.0,-131.0,154
1,-133.75,-133.75,155
1,-137.75,-137.75,156
1,-140.25,-140.25,157
1,-143.25,-143.25,158
1,-146.25,-146.25,159
1,-149.25,-149.25,160
1,-152.25,-152.25,161
1,-155.25,-155.25,162
1,-158.25,-158.25,163
1,-161.25,-161.25,164
1,-164.25,-164.25,165
1,-167.25,-167.25,166
1,-170.25,-170.25,167
1,-173.75,-173.75,168
1,-176.25,-176.25,169
1,-179.25,-179.25,170
1,-182.25,-182.25,171
1,-185.25,-185.25,172
1,-188.25,-188.25,173
1,-191.25,-191.25,174
1,-194.25,-194.25,175
1,-197.25,-197.25,176
1,-200.25,-200.25,177
1,-203.25,-203.25,178
1,-206.25,-206.25,179
1,-209.75,-209.75,180
1,-212.25,-212.25,181
1,-215.25,-215.25,182
1,-218.25,-218.25,183
1,-221.25,-221.25,184
1,-224.25,-224.25,185
1,-227.25,-227.25,186
1,-230.25,-230.25,187
1,-233.25,-233.25,188
1,-236.25,-236.25,189
1,-239.25,-239.25,190
1,-242.25,-242.25,191
1,-245.75,-245.75,192
1,-248.25,-248.25,193
1,-251.25,-251.25,194
1,-254.25,-254.25,195
1,-257.25,-257.25,196
1,-260.25,-260.25,197
1,-263.25,-263.25,198
1,-241.25,-241.25,199
1,-219.0,-219.0,200
1,-221.75,-221.75,201
1,-225.25,-225.25,202
1,-228.25,-228.25,203
1,-231.75,-231.75,204
1,-234.25,-234.25,205
1,-237.25,-237.25,206
1,-240.25,-240.25,207
1,-243.25,-243.25,208
1,-246.25,-246.25,209
1,-249.25,-249.25,210
1,-252.25,-252.25,211
1,-255.25,-255.25,212
1,-258.25,-258.25,213
1,-261.25,-261.25,214
1,-264.25,-264.25,215
1,-267.75,-267.75,216
1,-270.25,-270.25,217
1,-273.25,-273.25,218
1,-276.25,-276.25,219
1,-279.25,-279.25,220
1,-282.25,-282.25,221
1,-285.25,-285.25,222
1,-288.25,-288.25,223
1,-291.25,-291.25,224
1,-294.25,-294.25,225
1,-297.25,-297.25,226
1,-300.25,-300.25,227
1,-303.75,-303.75,228
1,-306.25,-306.25,229
1,-309.25,-309.25,230
1,-312.25,-312.25,231
1,-315.25,-315.25,232
1,-318.25,-318.25,233
1,-321.25,-321.25,234
1,-324.25,-324.25,235
1,-327.25,-327.25,236
1,-330.25,-330.25,237
1,-333.25,-333.25,238
1,-336.25,-336.25,239
1,-339.25,-339.25,240
1,-342.25,-342.25,241
1,-345.25,-345.25,242
1,-348.25,-348.25,243
1,-351.25,-351.25,244
1,-354.75,-354.75,245
1,-357.25,-357.25,246
1,-360.25,-360.25,247
1,-363.25,-363.25,248
1,-366.25,-366.25,249
1,-369.25,-369.25,250
1,-372.25,-372.25,251
1,-375.25,-375.25,252
1,-378.25,-378.25,253
1,-381.75,-381.75,254
1,-384.25,-384.25,255
1,-387.25,-387.25,256
1,-390.25,-390.25,257
1,-393.25,-393.25,258
1,-396.25,-396.25,259
1,-399.25,-399.25,260
1,-402.25,-402.25,261
1,-405.25,-405.25,262
1,-408.25,-408.25,263
1,-411.25,-411.25,264
1,-414.25,-414.25,265
1,-417.25,-417.25,266
1,-420.75,-420.75,267
1,-423.25,-423.25,268
1,-426.25,-426.25,269
1,-429.25,-429.25,270
1,-432.25,-432.25,271
1,-435.25,-435.25,272
1,-438.25,-438.25,273
1,-441.25,-441.25,274
1,-444.25,-444.25,275
1,-447.25,-447.25,276
1,-450.25,-450.25,277
1,-453.75,-453.75,278
1,-456.25,-456.25,279
1,-459.25,-459.25,280
1,-462.25,-462.25,281
1,-465.25,-465.25,282
1,-468.25,-468.25,283
1,-471.25,-471.25,284
1,-474.25,-474.25,285
1,-477.25,-477.25,286
1,-480.25,-480.25,287
1,-483.25,-483.25,288
1,-486.25,-486.25,289
1,-489.25,-489.25,290
1,-492.75,-492.75,291
1,-495.25,-495.25,292
1,-498.25,-498.25,293
1,-501.25,-501.25,294
1,-504.25,-504.25,295
1,-507.25,-507.25,296
1,-510.25,-510.25,297
1,-513.25,-513.25,298
1,-516.25,-516.25,299
1,-519.75,-519.75,300
1,-522.25,-522.25,301
1,-525.25,-525.25,302
1,-528.25,-528.25,303
1,-531.25,-531.25,304
1,-534.25,-534.25,305
1,-537.25,-537.25,306
1,-540.25,-540.25,307
1,-543.25,-543.25,308
1,-546.25,-546.25,309
1,-549.25,-549.25,310
1,-552.25,-552.25,311
1,-555.75,-555.75,312
1,-558.25,-558.25,313
1,-561.25,-561.25,314
1,-564.25,-564.25,315
1,-567.25,-567.25,316
1,-540.25,-540.25,317
1,-514.0,-514.0,318
1,-516.75,-516.75,319
1,-520.25,-520.25,320
1,-523.25,-523.25,321
1,-526.25,-526.25,322
1,-529.25,-529.25,323
1,-532.75,-532.75,324
1,-535.25,-535.25,325
1,-538.25,-538.25,326
1,-541.25,-541.25,327
1,-544.25,-544.25,328
1,-547.25,-547.25,329
1,-550.25,-550.25,330
1,-553.25,-553.25,331
1,-556.25,-556.25,332
1,-554.75,-554.75,333
1,-553.25,-553.25,334
1,-489.25,-489.25,335
1,-492.0,-492.0,336
1,-428.75,-428.75,337
1,-430.75,-430.75,338
1,-370.25,-370.25,339
1,-372.0,-372.0,340
1,-313.25,-313.25,341
1,-256.75,-256.75,342
1,-258.0,-258.0,343
1,-203.75,-203.75,344
1,-150.75,-150.75,345
1,-151.75,-151.75,346
1,-100.25,-100.25,347
1,-101.5,-101.5,348
1,-51.75,-51.75,349
1,-52.5,-52.5,350
1,-3.75,-3.75,351
1,-5.0,-5.0,352
1,-5.75,-5.75,353
1,-6.5,-6.5,354
1,-8.0,-8.0,355
1,-9.0,-9.0,356
1,-10.0,-10.0,357
